# Logfile created on 2025-09-01 14:28:35 +0200 by logger.rb/v1.4.3
2025-09-01 14:28:35 +0200: Memory Usage (428032K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/pedersen/projects/design_space/tapeouts/TO_July2025/60_GHZ_MPA/design_data/gds/FMD_QNC_60_ghz_mpa_filled.gds
2025-09-01 14:28:35 +0200: Memory Usage (428032K) : Ruby Version for klayout: 3.0.2
2025-09-01 14:28:35 +0200: Memory Usage (433820K) : Loading database to memory is complete.
2025-09-01 14:28:35 +0200: Memory Usage (433820K) : IHP-SG13G2 Klayout DRC runset output at: /home/pedersen/projects/design_space/tapeouts/TO_July2025/60_GHZ_MPA/design_data/gds/drc_run_FMD_QNC_60_ghz_mpa/FMD_QNC_60_ghz_mpa_filled_FMD_QNC_60_ghz_mpa_main.lyrdb
2025-09-01 14:28:35 +0200: Memory Usage (433820K) : Evaluate switches.
2025-09-01 14:28:35 +0200: Memory Usage (433820K) : table_name selected  main
2025-09-01 14:28:35 +0200: Memory Usage (433820K) : Klayout will use 1 thread(s)
2025-09-01 14:28:35 +0200: Memory Usage (433820K) : deep mode is enabled for main table.
2025-09-01 14:28:35 +0200: Memory Usage (433820K) : FEOL enabled: true
2025-09-01 14:28:35 +0200: Memory Usage (433820K) : BEOL enabled: true
2025-09-01 14:28:35 +0200: Memory Usage (433820K) : OffGrid enabled: true
2025-09-01 14:28:35 +0200: Memory Usage (433820K) : PreCheck DRC enabled: false
2025-09-01 14:28:35 +0200: Memory Usage (433820K) : CONNECTIVITY_RULES enabled: true for table main
2025-09-01 14:28:35 +0200: Memory Usage (433820K) : Read in polygons from layers.
2025-09-01 14:28:35 +0200: Memory Usage (435612K) : activ_drw has 48 polygons
2025-09-01 14:28:35 +0200: Memory Usage (435612K) : activ_pin has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (435612K) : activ_mask has 10 polygons
2025-09-01 14:28:35 +0200: Memory Usage (435612K) : activ_filler has 15044 polygons
2025-09-01 14:28:35 +0200: Memory Usage (435612K) : activ_nofill has 15 polygons
2025-09-01 14:28:35 +0200: Memory Usage (435612K) : activ_opc has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (435868K) : activ_iopc has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (435868K) : activ_noqrc has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (435868K) : biwind_drw has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (435868K) : biwind_opc has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (435868K) : pemwind_drw has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (435868K) : gatpoly_drw has 10 polygons
2025-09-01 14:28:35 +0200: Memory Usage (436124K) : gatpoly_pin has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (436124K) : gatpoly_filler has 15044 polygons
2025-09-01 14:28:35 +0200: Memory Usage (436124K) : gatpoly_nofill has 2 polygons
2025-09-01 14:28:35 +0200: Memory Usage (436124K) : gatpoly_opc has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (436124K) : gatpoly_iopc has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (436124K) : gatpoly_noqrc has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (436380K) : cont_drw has 110 polygons
2025-09-01 14:28:35 +0200: Memory Usage (436380K) : cont_opc has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (436380K) : nsd_drw has 4 polygons
2025-09-01 14:28:35 +0200: Memory Usage (436380K) : nsd_block has 10 polygons
2025-09-01 14:28:35 +0200: Memory Usage (436380K) : metal1_drw has 162 polygons
2025-09-01 14:28:35 +0200: Memory Usage (436636K) : metal1_pin has 18 polygons
2025-09-01 14:28:35 +0200: Memory Usage (436636K) : metal1_mask has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (436636K) : metal1_filler has 15532 polygons
2025-09-01 14:28:35 +0200: Memory Usage (436636K) : metal1_nofill has 15 polygons
2025-09-01 14:28:35 +0200: Memory Usage (436636K) : metal1_slit has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (436892K) : metal1_text has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (436892K) : metal1_opc has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (437148K) : metal1_noqrc has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (437148K) : metal1_res has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (437148K) : metal1_iprobe has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (437148K) : metal1_diffprb has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (437148K) : passiv_drw has 21 polygons
2025-09-01 14:28:35 +0200: Memory Usage (437148K) : passiv_pin has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (437404K) : passiv_sbump has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (437404K) : passiv_pillar has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (437404K) : passiv_pdl has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (437404K) : metal2_drw has 980 polygons
2025-09-01 14:28:35 +0200: Memory Usage (437404K) : metal2_pin has 1 polygons
2025-09-01 14:28:35 +0200: Memory Usage (437404K) : metal2_mask has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (437660K) : metal2_filler has 12972 polygons
2025-09-01 14:28:35 +0200: Memory Usage (437660K) : metal2_nofill has 15 polygons
2025-09-01 14:28:35 +0200: Memory Usage (437660K) : metal2_slit has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (437660K) : metal2_text has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (437660K) : metal2_opc has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (437660K) : metal2_noqrc has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (437916K) : metal2_res has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (437916K) : metal2_iprobe has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (437916K) : metal2_diffprb has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (437916K) : baspoly_drw has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (437916K) : baspoly_pin has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (437916K) : psd_drw has 48 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438172K) : nldb_drw has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438172K) : digibnd_drw has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438428K) : via1_drw has 11698 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438428K) : backmetal1_drw has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438428K) : backmetal1_pin has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438428K) : backmetal1_mask has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438428K) : backmetal1_filler has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438684K) : backmetal1_nofill has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438684K) : backmetal1_slit has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438684K) : backmetal1_text has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438684K) : backmetal1_opc has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438684K) : backmetal1_noqrc has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438684K) : backmetal1_res has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438940K) : backmetal1_iprobe has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438940K) : backmetal1_diffprb has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438940K) : backpassiv_drw has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438940K) : res_drw has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438940K) : sram_drw has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438940K) : trans_drw has 1 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438940K) : ind_drw has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (439196K) : ind_pin has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (439196K) : ind_text has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (439196K) : salblock_drw has 3 polygons
2025-09-01 14:28:35 +0200: Memory Usage (439964K) : via2_drw has 22878 polygons
2025-09-01 14:28:35 +0200: Memory Usage (439964K) : metal3_drw has 1181 polygons
2025-09-01 14:28:35 +0200: Memory Usage (439964K) : metal3_pin has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (439964K) : metal3_mask has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (439964K) : metal3_filler has 5671 polygons
2025-09-01 14:28:35 +0200: Memory Usage (439964K) : metal3_nofill has 15 polygons
