"FREQ";"r xyce/I(PR2)";"i xyce/I(PR2)"
-1.8e+11;-7.73456e-20;-4.86652e-20
-1.2e+11;-2.51709e-20;-9.00603e-20
-6e+10;1.32015e-19;0.0005
0;1.45056e-18;0
6e+10;1.32015e-19;-0.0005
1.2e+11;-2.51709e-20;9.00603e-20
1.8e+11;-7.73456e-20;4.86652e-20
-1.8e+11;-6.32233e-20;-8.30008e-20
-1.2e+11;-8.04833e-20;-6.54887e-20
-6e+10;1.63981e-19;0.000591837
0;-2.23585e-20;0
6e+10;1.63981e-19;-0.000591837
1.2e+11;-8.04833e-20;6.54887e-20
1.8e+11;-6.32233e-20;8.30008e-20
-1.8e+11;1.92104e-19;-2.81003e-20
-1.2e+11;-4.25939e-19;-1.34728e-19
-6e+10;2.27747e-19;0.000683673
0;3.47063e-21;0
6e+10;2.27747e-19;-0.000683673
1.2e+11;-4.25939e-19;1.34728e-19
1.8e+11;1.92104e-19;2.81003e-20
-1.8e+11;-7.23308e-20;-3.34737e-20
-1.2e+11;-1.06826e-19;-5.86799e-20
-6e+10;1.91877e-19;0.00077551
0;1.52206e-14;0
6e+10;1.91877e-19;-0.00077551
1.2e+11;-1.06826e-19;5.86799e-20
1.8e+11;-7.23308e-20;3.34737e-20
-1.8e+11;-7.87374e-20;-8.20931e-20
-1.2e+11;-1.2845e-19;-7.33924e-20
-6e+10;2.19889e-19;0.000867346
0;1.62389e-16;0
6e+10;2.19889e-19;-0.000867346
1.2e+11;-1.2845e-19;7.33924e-20
1.8e+11;-7.87374e-20;8.20931e-20
-1.8e+11;-1.19807e-19;1.53471e-18
-1.2e+11;-5.44335e-20;3.1216e-19
-6e+10;-6.08006e-21;0.000959183
0;1.4091e-19;0
6e+10;-6.08006e-21;-0.000959183
1.2e+11;-5.44335e-20;-3.1216e-19
1.8e+11;-1.19807e-19;-1.53471e-18
-1.8e+11;-9.61597e-20;6.17313e-21
-1.2e+11;-1.4019e-19;-2.27427e-19
-6e+10;2.70359e-19;0.00105102
0;-2.33786e-20;0
6e+10;2.70359e-19;-0.00105102
1.2e+11;-1.4019e-19;2.27427e-19
1.8e+11;-9.61597e-20;-6.17313e-21
-1.8e+11;-5.92345e-20;-3.59067e-20
-1.2e+11;-1.36597e-19;-1.57042e-19
-6e+10;2.51592e-19;0.00114286
0;-1.17199e-18;0
6e+10;2.51592e-19;-0.00114286
1.2e+11;-1.36597e-19;1.57042e-19
1.8e+11;-5.92345e-20;3.59067e-20
-1.8e+11;-3.73889e-20;-1.20654e-19
-1.2e+11;-2.08555e-19;-1.28616e-19
-6e+10;2.73891e-19;0.00123469
0;-6.90318e-19;0
6e+10;2.73891e-19;-0.00123469
1.2e+11;-2.08555e-19;1.28616e-19
1.8e+11;-3.73889e-20;1.20654e-19
-1.8e+11;-1.77915e-19;-4.93957e-21
-1.2e+11;-1.73318e-19;-1.73329e-19
-6e+10;3.90115e-19;0.00132653
0;-2.89877e-17;0
6e+10;3.90115e-19;-0.00132653
1.2e+11;-1.73318e-19;1.73329e-19
1.8e+11;-1.77915e-19;4.93957e-21
-1.8e+11;-1.43744e-19;-3.22672e-20
-1.2e+11;-2.18051e-19;-5.37868e-20
-6e+10;3.50364e-19;0.00141836
0;1.75509e-17;0
6e+10;3.50364e-19;-0.00141836
1.2e+11;-2.18051e-19;5.37868e-20
1.8e+11;-1.43744e-19;3.22672e-20
-1.8e+11;-6.44994e-20;-7.34409e-20
-1.2e+11;-2.62678e-19;-1.54891e-19
-6e+10;3.74741e-19;0.0015102
0;5.58107e-16;0
6e+10;3.74741e-19;-0.0015102
1.2e+11;-2.62678e-19;1.54891e-19
1.8e+11;-6.44994e-20;7.34409e-20
-1.8e+11;-5.55205e-20;-1.51573e-19
-1.2e+11;-2.08291e-19;-1.52754e-19
-6e+10;3.30029e-19;0.00160204
0;2.50803e-16;0
6e+10;3.30029e-19;-0.00160204
1.2e+11;-2.08291e-19;1.52754e-19
1.8e+11;-5.55205e-20;1.51573e-19
-1.8e+11;-1.80131e-19;-9.60557e-20
-1.2e+11;-1.84062e-19;-7.24522e-20
-6e+10;4.07783e-19;0.00169387
0;-6.80992e-17;0
6e+10;4.07783e-19;-0.00169387
1.2e+11;-1.84062e-19;7.24522e-20
1.8e+11;-1.80131e-19;9.60557e-20
-1.8e+11;-1.90837e-19;-1.3841e-19
-1.2e+11;-2.74411e-19;-2.47244e-19
-6e+10;4.55586e-19;0.00178571
0;8.91325e-15;0
6e+10;4.55586e-19;-0.00178571
1.2e+11;-2.74411e-19;2.47244e-19
1.8e+11;-1.90837e-19;1.3841e-19
-1.8e+11;-1.18273e-20;-1.42095e-18
-1.2e+11;3.91863e-19;-2.44563e-19
-6e+10;2.23979e-19;0.00187755
0;8.55364e-13;0
6e+10;2.23979e-19;-0.00187755
1.2e+11;3.91863e-19;2.44563e-19
1.8e+11;-1.18273e-20;1.42095e-18
-1.8e+11;-3.16941e-19;2.79426e-19
-1.2e+11;1.07401e-19;-1.79669e-19
-6e+10;5.00184e-19;0.00196938
0;1.69956e-12;0
6e+10;5.00184e-19;-0.00196938
1.2e+11;1.07401e-19;1.79669e-19
1.8e+11;-3.16941e-19;-2.79426e-19
