"FREQ";"r xyce/V(VIN)";"i xyce/V(VIN)"
-1.8e+11;-1.0447e-05;2.33456e-06
-1.2e+11;0.000168285;-0.000157297
-6e+10;-0.0112713;0.0403578
0;1.19372;0
6e+10;-0.0112713;-0.0403578
1.2e+11;0.000168285;0.000157297
1.8e+11;-1.0447e-05;-2.33456e-06
-1.8e+11;-1.78072e-05;3.8543e-06
-1.2e+11;0.000238597;-0.000219437
-6e+10;-0.0134204;0.0477735
0;1.20599;0
6e+10;-0.0134204;-0.0477735
1.2e+11;0.000238597;0.000219437
1.8e+11;-1.78072e-05;-3.8543e-06
-1.8e+11;-2.8284e-05;6.05455e-06
-1.2e+11;0.000323187;-0.000290318
-6e+10;-0.01563;0.0551993
0;1.21532;0
6e+10;-0.01563;-0.0551993
1.2e+11;0.000323187;0.000290318
1.8e+11;-2.8284e-05;-6.05455e-06
-1.8e+11;-4.2819e-05;9.27209e-06
-1.2e+11;0.000423793;-0.000368139
-6e+10;-0.0179234;0.0626401
0;1.22466;0
6e+10;-0.0179234;-0.0626401
1.2e+11;0.000423793;0.000368139
1.8e+11;-4.2819e-05;-9.27209e-06
-1.8e+11;-6.31865e-05;1.40741e-05
-1.2e+11;0.0005433;-0.000449787
-6e+10;-0.0203304;0.0700986
0;1.23226;0
6e+10;-0.0203304;-0.0700986
1.2e+11;0.0005433;0.000449787
1.8e+11;-6.31865e-05;-1.40741e-05
-1.8e+11;-9.2359e-05;2.14668e-05
-1.2e+11;0.00068652;-0.00053041
-6e+10;-0.0228891;0.0775727
0;1.24333;0
6e+10;-0.0228891;-0.0775727
1.2e+11;0.00068652;0.00053041
1.8e+11;-9.2359e-05;-2.14668e-05
-1.8e+11;-0.000128659;3.36185e-05
-1.2e+11;0.000858082;-0.000608347
-6e+10;-0.0256373;0.0850642
0;1.25267;0
6e+10;-0.0256373;-0.0850642
1.2e+11;0.000858082;0.000608347
1.8e+11;-0.000128659;-3.36185e-05
-1.8e+11;-0.000173418;5.20288e-05
-1.2e+11;0.00106186;-0.000679293
-6e+10;-0.0286089;0.092567
0;0.876883;0
6e+10;-0.0286089;-0.092567
1.2e+11;0.00106186;0.000679293
1.8e+11;-0.000173418;-5.20288e-05
-1.8e+11;-0.000265991;6.24266e-05
-1.2e+11;0.00130683;-0.000705827
-6e+10;-0.0318579;0.099984
0;1.27224;0
6e+10;-0.0318579;-0.099984
1.2e+11;0.00130683;0.000705827
1.8e+11;-0.000265991;-6.24266e-05
-1.8e+11;-0.000544807;-1.08515e-08
-1.2e+11;0.00161194;-0.000565819
-6e+10;-0.0354626;0.106979
0;1.28222;0
6e+10;-0.0354626;-0.106979
1.2e+11;0.00161194;0.000565819
1.8e+11;-0.000544807;1.08515e-08
-1.8e+11;-0.00097076;-0.000115101
-1.2e+11;0.00199006;-0.000284088
-6e+10;-0.03943;0.113567
0;1.29156;0
6e+10;-0.03943;-0.113567
1.2e+11;0.00199006;0.000284088
1.8e+11;-0.00097076;0.000115101
-1.8e+11;-0.00140166;-0.000204133
-1.2e+11;0.00246537;4.35538e-05
-6e+10;-0.0438031;0.119917
0;1.30076;0
6e+10;-0.0438031;-0.119917
1.2e+11;0.00246537;-4.35538e-05
1.8e+11;-0.00140166;0.000204133
-1.8e+11;-0.00178792;-0.000249457
-1.2e+11;0.00302692;0.000384373
-6e+10;-0.0485539;0.126099
0;1.31226;0
6e+10;-0.0485539;-0.126099
1.2e+11;0.00302692;-0.000384373
1.8e+11;-0.00178792;0.000249457
-1.8e+11;-0.00213998;-0.00027323
-1.2e+11;0.00363603;0.000736169
-6e+10;-0.053583;0.132169
0;1.32066;0
6e+10;-0.053583;-0.132169
1.2e+11;0.00363603;-0.000736169
1.8e+11;-0.00213998;0.00027323
-1.8e+11;-0.00246852;-0.000291721
-1.2e+11;0.00426692;0.00110045
-6e+10;-0.0588251;0.138156
0;1.33099;0
6e+10;-0.0588251;-0.138156
1.2e+11;0.00426692;-0.00110045
1.8e+11;-0.00246852;0.000291721
-1.8e+11;-0.00276085;-0.000312531
-1.2e+11;0.00488929;0.00147526
-6e+10;-0.0642106;0.144041
0;1.34167;0
6e+10;-0.0642106;-0.144041
1.2e+11;0.00488929;-0.00147526
1.8e+11;-0.00276085;0.000312531
-1.8e+11;-0.00290788;-0.000326469
-1.2e+11;0.00539671;0.00183473
-6e+10;-0.069496;0.149669
0;1.3524;0
6e+10;-0.069496;-0.149669
1.2e+11;0.00539671;-0.00183473
1.8e+11;-0.00290788;0.000326469
