"FREQ";"r xyce/V(VOUT)";"i xyce/V(VOUT)"
-1.8e+11;2.55033e-06;-9.80719e-05
-1.2e+11;-0.00121651;0.000415877
-6e+10;-0.073705;-0.114058
0;5.05244e-16;0
6e+10;-0.073705;0.114058
1.2e+11;-0.00121651;-0.000415877
1.8e+11;2.55033e-06;9.80719e-05
-1.8e+11;8.8495e-06;-0.000167126
-1.2e+11;-0.00173445;0.000596943
-6e+10;-0.0869354;-0.134967
0;-1.16917e-18;0
6e+10;-0.0869354;0.134967
1.2e+11;-0.00173445;-0.000596943
1.8e+11;8.8495e-06;0.000167126
-1.8e+11;2.20981e-05;-0.000266886
-1.2e+11;-0.00237025;0.000816792
-6e+10;-0.0999531;-0.155895
0;-1.17288e-16;0
6e+10;-0.0999531;0.155895
1.2e+11;-0.00237025;-0.000816792
1.8e+11;2.20981e-05;0.000266886
-1.8e+11;4.79921e-05;-0.000408347
-1.2e+11;-0.00314884;0.00107707
-6e+10;-0.112677;-0.176861
0;-3.22576e-12;0
6e+10;-0.112677;0.176861
1.2e+11;-0.00314884;-0.00107707
1.8e+11;4.79921e-05;0.000408347
-1.8e+11;9.86469e-05;-0.000610675
-1.2e+11;-0.00411223;0.00137662
-6e+10;-0.124993;-0.197868
0;-6.32249e-14;0
6e+10;-0.124993;0.197868
1.2e+11;-0.00411223;-0.00137662
1.8e+11;9.86469e-05;0.000610675
-1.8e+11;0.000194917;-0.000905725
-1.2e+11;-0.00532864;0.00171127
-6e+10;-0.136736;-0.218897
0;7.03416e-16;0
6e+10;-0.136736;0.218897
1.2e+11;-0.00532864;-0.00171127
1.8e+11;0.000194917;0.000905725
-1.8e+11;0.000329166;-0.00130505
-1.2e+11;-0.00685093;0.00209795
-6e+10;-0.147741;-0.239945
0;-2.02671e-20;0
6e+10;-0.147741;0.239945
1.2e+11;-0.00685093;-0.00209795
1.8e+11;0.000329166;0.00130505
-1.8e+11;0.000534425;-0.00184601
-1.2e+11;-0.00875991;0.00251949
-6e+10;-0.157846;-0.260954
0;-8.96e-17;0
6e+10;-0.157846;0.260954
1.2e+11;-0.00875991;-0.00251949
1.8e+11;0.000534425;0.00184601
-1.8e+11;0.00115588;-0.00285333
-1.2e+11;-0.0115114;0.00276965
-6e+10;-0.166547;-0.281281
0;6.58033e-16;0
6e+10;-0.166547;0.281281
1.2e+11;-0.0115114;-0.00276965
1.8e+11;0.00115588;0.00285333
-1.8e+11;0.00324388;-0.00533643
-1.2e+11;-0.016456;0.00223223
-6e+10;-0.172532;-0.298796
0;7.53349e-14;0
6e+10;-0.172532;0.298796
1.2e+11;-0.016456;-0.00223223
1.8e+11;0.00324388;0.00533643
-1.8e+11;0.00633413;-0.00900068
-1.2e+11;-0.0233556;0.00124365
-6e+10;-0.175681;-0.313725
0;-2.19869e-13;0
6e+10;-0.175681;0.313725
1.2e+11;-0.0233556;-0.00124365
1.8e+11;0.00633413;0.00900068
-1.8e+11;0.00912334;-0.0129227
-1.2e+11;-0.0313366;0.000737447
-6e+10;-0.176017;-0.327331
0;3.30479e-12;0
6e+10;-0.176017;0.327331
1.2e+11;-0.0313366;-0.000737447
1.8e+11;0.00912334;0.0129227
-1.8e+11;0.0112612;-0.0167462
-1.2e+11;-0.039968;0.000850573
-6e+10;-0.173905;-0.340093
0;7.48174e-13;0
6e+10;-0.173905;0.340093
1.2e+11;-0.039968;-0.000850573
1.8e+11;0.0112612;0.0167462
-1.8e+11;0.0129973;-0.0204262
-1.2e+11;-0.0489613;0.00120924
-6e+10;-0.170199;-0.352264
0;1.74131e-16;0
6e+10;-0.170199;0.352264
1.2e+11;-0.0489613;-0.00120924
1.8e+11;0.0129973;0.0204262
-1.8e+11;0.0145116;-0.0239423
-1.2e+11;-0.0581427;0.00154756
-6e+10;-0.165446;-0.363958
0;3.56475e-12;0
6e+10;-0.165446;0.363958
1.2e+11;-0.0581427;-0.00154756
1.8e+11;0.0145116;0.0239423
-1.8e+11;0.0157888;-0.02707
-1.2e+11;-0.067247;0.00159618
-6e+10;-0.160089;-0.374992
0;-2.07105e-09;0
6e+10;-0.160089;0.374992
1.2e+11;-0.067247;-0.00159618
1.8e+11;0.0157888;0.02707
-1.8e+11;0.0163048;-0.0286239
-1.2e+11;-0.0752531;0.000536074
-6e+10;-0.155289;-0.38407
0;1.64361e-10;0
6e+10;-0.155289;0.38407
1.2e+11;-0.0752531;-0.000536074
1.8e+11;0.0163048;0.0286239
