"PindBm
References : []
Dependency : [PindBm]
Num. Points : [100]
Matrix Size : scalar
Type : Real","PindBm
References : ['Vout_raw','Vin_raw','Po_raw','Iout_raw','Iin_raw']
Dependency : [PindBm]
Num. Points : [100]
Matrix Size : scalar
Type : Real","Vout_raw
References : []
Dependency : [PindBm]
Num. Points : [100]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","Vin_raw
References : []
Dependency : [PindBm]
Num. Points : [100]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","Po_raw
References : []
Dependency : [PindBm]
Num. Points : [100]
Matrix Size : scalar
Type : Real","Iout_raw
References : []
Dependency : [PindBm]
Num. Points : [100]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","Iin_raw
References : []
Dependency : [PindBm]
Num. Points : [100]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","PindBm
References : []
Dependency : [PindBm]
Num. Points : [100]
Matrix Size : scalar
Type : Real"
-30.000,-30.000,0.046 / -141.908,0.014 / -1.160,2.099E-5,9.164E-4 / -141.908,1.168E-4 / 2.817,-30.000
-29.646,-29.646,0.048 / -141.908,0.015 / -1.161,2.277E-5,9.545E-4 / -141.908,1.216E-4 / 2.818,-29.646
-29.293,-29.293,0.050 / -141.908,0.015 / -1.161,2.471E-5,9.941E-4 / -141.908,1.267E-4 / 2.818,-29.293
-28.939,-28.939,0.052 / -141.908,0.016 / -1.161,2.680E-5,0.001 / -141.908,1.319E-4 / 2.819,-28.939
-28.586,-28.586,0.054 / -141.908,0.017 / -1.161,2.907E-5,0.001 / -141.908,1.374E-4 / 2.819,-28.586
-28.232,-28.232,0.056 / -141.908,0.017 / -1.161,3.154E-5,0.001 / -141.908,1.431E-4 / 2.820,-28.232
-27.879,-27.879,0.058 / -141.908,0.018 / -1.162,3.421E-5,0.001 / -141.908,1.491E-4 / 2.821,-27.879
-27.525,-27.525,0.061 / -141.908,0.019 / -1.162,3.711E-5,0.001 / -141.908,1.553E-4 / 2.821,-27.525
-27.172,-27.172,0.063 / -141.908,0.020 / -1.162,4.026E-5,0.001 / -141.908,1.617E-4 / 2.822,-27.172
-26.818,-26.818,0.066 / -141.908,0.020 / -1.163,4.367E-5,0.001 / -141.908,1.684E-4 / 2.823,-26.818
-26.465,-26.465,0.069 / -141.908,0.021 / -1.163,4.738E-5,0.001 / -141.908,1.754E-4 / 2.824,-26.465
-26.111,-26.111,0.072 / -141.908,0.022 / -1.164,5.139E-5,0.001 / -141.908,1.827E-4 / 2.825,-26.111
-25.758,-25.758,0.075 / -141.908,0.023 / -1.164,5.575E-5,0.001 / -141.908,1.903E-4 / 2.827,-25.758
-25.404,-25.404,0.078 / -141.908,0.024 / -1.165,6.048E-5,0.002 / -141.908,1.982E-4 / 2.828,-25.404
-25.051,-25.051,0.081 / -141.908,0.025 / -1.165,6.560E-5,0.002 / -141.908,2.064E-4 / 2.829,-25.051
-24.697,-24.697,0.084 / -141.908,0.026 / -1.166,7.117E-5,0.002 / -141.908,2.150E-4 / 2.831,-24.697
-24.343,-24.343,0.088 / -141.908,0.027 / -1.166,7.720E-5,0.002 / -141.908,2.239E-4 / 2.833,-24.343
-23.990,-23.990,0.092 / -141.909,0.028 / -1.167,8.374E-5,0.002 / -141.909,2.332E-4 / 2.834,-23.990
-23.636,-23.636,0.095 / -141.909,0.029 / -1.168,9.084E-5,0.002 / -141.909,2.429E-4 / 2.836,-23.636
-23.283,-23.283,0.099 / -141.909,0.031 / -1.169,9.854E-5,0.002 / -141.909,2.530E-4 / 2.838,-23.283
-22.929,-22.929,0.103 / -141.909,0.032 / -1.170,1.069E-4,0.002 / -141.909,2.635E-4 / 2.841,-22.929
-22.576,-22.576,0.108 / -141.909,0.033 / -1.171,1.159E-4,0.002 / -141.909,2.744E-4 / 2.843,-22.576
-22.222,-22.222,0.112 / -141.909,0.035 / -1.172,1.258E-4,0.002 / -141.909,2.858E-4 / 2.846,-22.222
-21.869,-21.869,0.117 / -141.909,0.036 / -1.173,1.364E-4,0.002 / -141.909,2.977E-4 / 2.849,-21.869
-21.515,-21.515,0.122 / -141.910,0.038 / -1.174,1.480E-4,0.002 / -141.910,3.100E-4 / 2.852,-21.515
-21.162,-21.162,0.127 / -141.910,0.039 / -1.176,1.605E-4,0.003 / -141.910,3.229E-4 / 2.856,-21.162
-20.808,-20.808,0.132 / -141.910,0.041 / -1.177,1.741E-4,0.003 / -141.910,3.363E-4 / 2.860,-20.808
-20.455,-20.455,0.137 / -141.911,0.043 / -1.179,1.889E-4,0.003 / -141.911,3.502E-4 / 2.864,-20.455
