"FREQ";"Y";"r xyce/I(PR3)";"i xyce/I(PR3)"
-2.5e+11;0.0001;-7.17649e-15;-2.88646e-13
-2e+11;0.0001;-1.67568e-11;-3.00787e-12
-1.5e+11;0.0001;-1.90408e-09;1.62995e-09
-1e+11;0.0001;2.70021e-08;3.19861e-07
-5e+10;0.0001;-0.00026706;-0.000152726
0;0.0001;4.38536e-20;0
5e+10;0.0001;-0.00026706;0.000152726
1e+11;0.0001;2.70021e-08;-3.19861e-07
1.5e+11;0.0001;-1.90408e-09;-1.62995e-09
2e+11;0.0001;-1.67568e-11;3.00787e-12
2.5e+11;0.0001;-7.17649e-15;2.88646e-13
-2.5e+11;0.000119598;-1.68123e-14;-7.05173e-13
-2e+11;0.000119598;-3.4305e-11;-6.16551e-12
-1.5e+11;0.000119598;-3.25856e-09;2.78836e-09
-1e+11;0.000119598;3.86493e-08;4.5757e-07
-5e+10;0.000119598;-0.000319392;-0.000182655
0;0.000119598;-2.34315e-20;0
5e+10;0.000119598;-0.000319392;0.000182655
1e+11;0.000119598;3.86493e-08;-4.5757e-07
1.5e+11;0.000119598;-3.25856e-09;-2.78836e-09
2e+11;0.000119598;-3.4305e-11;6.16551e-12
2.5e+11;0.000119598;-1.68123e-14;7.05173e-13
-2.5e+11;0.000139196;-3.45378e-14;-1.50367e-12
-2e+11;0.000139196;-6.29926e-11;-1.13381e-11
-1.5e+11;0.000139196;-5.13963e-09;4.39602e-09
-1e+11;0.000139196;5.23957e-08;6.19898e-07
-5e+10;0.000139196;-0.00037172;-0.000212582
0;0.000139196;5.49701e-20;0
5e+10;0.000139196;-0.00037172;0.000212582
1e+11;0.000139196;5.23957e-08;-6.19898e-07
1.5e+11;0.000139196;-5.13963e-09;-4.39602e-09
2e+11;0.000139196;-6.29926e-11;1.13381e-11
2.5e+11;0.000139196;-3.45378e-14;1.50367e-12
-2.5e+11;0.000158794;-6.45311e-14;-2.90111e-12
-2e+11;0.000158794;-1.0678e-10;-1.92521e-11
-1.5e+11;0.000158794;-7.63453e-09;6.52658e-09
-1e+11;0.000158794;6.82514e-08;8.06866e-07
-5e+10;0.000158794;-0.000424044;-0.000242508
0;0.000158794;-4.18631e-21;0
5e+10;0.000158794;-0.000424044;0.000242508
1e+11;0.000158794;6.82514e-08;-8.06866e-07
1.5e+11;0.000158794;-7.63453e-09;-6.52658e-09
2e+11;0.000158794;-1.0678e-10;1.92521e-11
2.5e+11;0.000158794;-6.45311e-14;2.90111e-12
-2.5e+11;0.000178392;-1.1232e-13;-5.18417e-12
-2e+11;0.000178392;-1.70244e-10;-3.0754e-11
-1.5e+11;0.000178392;-1.08309e-08;9.25369e-09
