"FREQ";"Y";"r xyce/I(PR2)";"i xyce/I(PR2)"
-2.5e+11;0.0001;3.02889e-21;-2.09767e-21
-2e+11;0.0001;4.13765e-21;1.13284e-21
-1.5e+11;0.0001;5.16017e-21;5.45828e-21
-1e+11;0.0001;1.72667e-21;3.75022e-21
-5e+10;0.0001;-1.48855e-20;5e-05
0;0.0001;-5.90988e-22;0
5e+10;0.0001;-1.48855e-20;-5e-05
1e+11;0.0001;1.72667e-21;-3.75022e-21
1.5e+11;0.0001;5.16017e-21;-5.45828e-21
2e+11;0.0001;4.13765e-21;-1.13284e-21
2.5e+11;0.0001;3.02889e-21;2.09767e-21
-2.5e+11;0.000119598;3.5179e-21;2.39068e-22
-2e+11;0.000119598;6.14623e-21;9.19683e-21
-1.5e+11;0.000119598;4.38575e-21;8.09051e-21
-1e+11;0.000119598;4.38477e-21;1.85731e-21
-5e+10;0.000119598;-1.89154e-20;5.9799e-05
0;0.000119598;-6.76953e-22;0
5e+10;0.000119598;-1.89154e-20;-5.9799e-05
1e+11;0.000119598;4.38477e-21;-1.85731e-21
1.5e+11;0.000119598;4.38575e-21;-8.09051e-21
2e+11;0.000119598;6.14623e-21;-9.19683e-21
2.5e+11;0.000119598;3.5179e-21;-2.39068e-22
-2.5e+11;0.000139196;6.88154e-21;-2.10887e-21
-2e+11;0.000139196;7.96807e-21;-2.13683e-21
-1.5e+11;0.000139196;6.29434e-21;1.496e-20
-1e+11;0.000139196;2.62789e-22;1.2653e-20
-5e+10;0.000139196;-2.29702e-20;6.9598e-05
0;0.000139196;1.49274e-21;0
5e+10;0.000139196;-2.29702e-20;-6.9598e-05
1e+11;0.000139196;2.62789e-22;-1.2653e-20
1.5e+11;0.000139196;6.29434e-21;-1.496e-20
2e+11;0.000139196;7.96807e-21;2.13683e-21
2.5e+11;0.000139196;6.88154e-21;2.10887e-21
-2.5e+11;0.000158794;2.47493e-21;-1.58931e-21
-2e+11;0.000158794;1.17459e-20;7.47178e-21
-1.5e+11;0.000158794;8.70231e-21;9.05185e-21
-1e+11;0.000158794;1.4497e-21;7.92674e-21
-5e+10;0.000158794;-2.61995e-20;7.9397e-05
0;0.000158794;3.40811e-22;0
5e+10;0.000158794;-2.61995e-20;-7.9397e-05
1e+11;0.000158794;1.4497e-21;-7.92674e-21
1.5e+11;0.000158794;8.70231e-21;-9.05185e-21
2e+11;0.000158794;1.17459e-20;-7.47178e-21
2.5e+11;0.000158794;2.47493e-21;1.58931e-21
-2.5e+11;0.000178392;2.26437e-21;-3.77853e-21
-2e+11;0.000178392;9.63621e-21;-6.81892e-21
-1.5e+11;0.000178392;1.26363e-20;2.38589e-20
-1e+11;0.000178392;5.59612e-21;2.08895e-20
-5e+10;0.000178392;-3.16621e-20;8.9196e-05
0;0.000178392;2.30254e-21;0
5e+10;0.000178392;-3.16621e-20;-8.9196e-05
1e+11;0.000178392;5.59612e-21;-2.08895e-20
1.5e+11;0.000178392;1.26363e-20;-2.38589e-20
2e+11;0.000178392;9.63621e-21;6.81892e-21
2.5e+11;0.000178392;2.26437e-21;3.77853e-21
-2.5e+11;0.00019799;7.94635e-21;-6.66695e-22
-2e+11;0.00019799;1.06318e-20;-4.80742e-21
-1.5e+11;0.00019799;7.51531e-21;3.72323e-21
-1e+11;0.00019799;-1.52939e-21;-4.09408e-21
-5e+10;0.00019799;-3.13277e-20;9.8995e-05
0;0.00019799;9.42376e-21;0
5e+10;0.00019799;-3.13277e-20;-9.8995e-05
1e+11;0.00019799;-1.52939e-21;4.09408e-21
1.5e+11;0.00019799;7.51531e-21;-3.72323e-21
2e+11;0.00019799;1.06318e-20;4.80742e-21
2.5e+11;0.00019799;7.94635e-21;6.66695e-22
-2.5e+11;0.000217588;5.5858e-21;-7.16092e-22
-2e+11;0.000217588;1.43205e-20;1.07374e-20
-1.5e+11;0.000217588;1.093e-20;1.42071e-20
-1e+11;0.000217588;2.83096e-21;1.42907e-21
-5e+10;0.000217588;-3.5013e-20;0.000108794
0;0.000217588;2.3069e-22;0
5e+10;0.000217588;-3.5013e-20;-0.000108794
1e+11;0.000217588;2.83096e-21;-1.42907e-21
1.5e+11;0.000217588;1.093e-20;-1.42071e-20
2e+11;0.000217588;1.43205e-20;-1.07374e-20
2.5e+11;0.000217588;5.5858e-21;7.16092e-22
-2.5e+11;0.000237186;9.45688e-21;-3.94532e-21
-2e+11;0.000237186;1.43481e-20;-1.03426e-21
-1.5e+11;0.000237186;9.44419e-21;1.2843e-20
-1e+11;0.000237186;1.04302e-21;1.28726e-20
-5e+10;0.000237186;-3.61519e-20;0.000118593
0;0.000237186;1.25559e-21;0
5e+10;0.000237186;-3.61519e-20;-0.000118593
1e+11;0.000237186;1.04302e-21;-1.28726e-20
1.5e+11;0.000237186;9.44419e-21;-1.2843e-20
2e+11;0.000237186;1.43481e-20;1.03426e-21
2.5e+11;0.000237186;9.45688e-21;3.94532e-21
-2.5e+11;0.000256784;8.69888e-21;-3.62068e-21
-2e+11;0.000256784;1.32414e-20;7.07148e-21
-1.5e+11;0.000256784;1.36896e-20;3.26225e-20
-1e+11;0.000256784;1.99351e-21;2.39676e-20
