"FREQ";"Y";"r xyce/V(VIN)";"i xyce/V(VIN)"
-2.5e+11;0.0001;-2.48525e-12;9.90424e-13
-2e+11;0.0001;1.57944e-10;-6.49512e-11
-1.5e+11;0.0001;1.40919e-08;1.80019e-08
-1e+11;0.0001;-2.30727e-06;-3.66208e-06
-5e+10;0.0001;0.000601485;0.00353027
0;0.0001;1.25643;0
5e+10;0.0001;0.000601485;-0.00353027
1e+11;0.0001;-2.30727e-06;3.66208e-06
1.5e+11;0.0001;1.40919e-08;-1.80019e-08
2e+11;0.0001;1.57944e-10;6.49512e-11
2.5e+11;0.0001;-2.48525e-12;-9.90424e-13
-2.5e+11;0.000119598;-6.07298e-12;2.41344e-12
-2e+11;0.000119598;3.23231e-10;-1.32808e-10
-1.5e+11;0.000119598;2.41109e-08;3.08038e-08
-1e+11;0.000119598;-3.30046e-06;-5.23873e-06
-5e+10;0.000119598;0.000719327;0.00422212
0;0.000119598;1.25745;0
5e+10;0.000119598;0.000719327;-0.00422212
1e+11;0.000119598;-3.30046e-06;5.23873e-06
1.5e+11;0.000119598;2.41109e-08;-3.08038e-08
2e+11;0.000119598;3.23231e-10;1.32808e-10
2.5e+11;0.000119598;-6.07298e-12;-2.41344e-12
-2.5e+11;0.000139196;-1.29515e-11;5.13463e-12
-2e+11;0.000139196;5.93279e-10;-2.43518e-10
-1.5e+11;0.000139196;3.80196e-08;4.85789e-08
-1e+11;0.000139196;-4.47108e-06;-7.09727e-06
-5e+10;0.000139196;0.00083715;0.00491395
0;0.000139196;1.259;0
5e+10;0.000139196;0.00083715;-0.00491395
1e+11;0.000139196;-4.47108e-06;7.09727e-06
1.5e+11;0.000139196;3.80196e-08;-4.85789e-08
2e+11;0.000139196;5.93279e-10;2.43518e-10
2.5e+11;0.000139196;-1.29515e-11;-5.13463e-12
-2.5e+11;0.000158794;-2.49895e-11;9.88672e-12
-2e+11;0.000158794;1.00517e-09;-4.12103e-10
-1.5e+11;0.000158794;5.64585e-08;7.21481e-08
-1e+11;0.000158794;-5.81923e-06;-9.23793e-06
-5e+10;0.000158794;0.000954949;0.00560577
0;0.000158794;1.26118;0
5e+10;0.000158794;0.000954949;-0.00560577
1e+11;0.000158794;-5.81923e-06;9.23793e-06
1.5e+11;0.000158794;5.64585e-08;-7.21481e-08
2e+11;0.000158794;1.00517e-09;4.12103e-10
2.5e+11;0.000158794;-2.49895e-11;-9.88672e-12
-2.5e+11;0.000178392;-4.46539e-11;1.76368e-11
-2e+11;0.000178392;1.60169e-09;-6.55792e-10
-1.5e+11;0.000178392;8.00695e-08;1.02335e-07
-1e+11;0.000178392;-7.34497e-06;-1.1661e-05
-5e+10;0.000178392;0.00107272;0.00629758
0;0.000178392;1.26106;0
5e+10;0.000178392;0.00107272;-0.00629758
1e+11;0.000178392;-7.34497e-06;1.1661e-05
1.5e+11;0.000178392;8.00695e-08;-1.02335e-07
2e+11;0.000178392;1.60169e-09;6.55792e-10
2.5e+11;0.000178392;-4.46539e-11;-1.76368e-11
-2.5e+11;0.00019799;-7.5091e-11;2.96191e-11
-2e+11;0.00019799;2.43133e-09;-9.93988e-10
-1.5e+11;0.00019799;1.09496e-07;1.39966e-07
-1e+11;0.00019799;-9.04842e-06;-1.43667e-05
-5e+10;0.00019799;0.00119047;0.00698938
0;0.00019799;1.26259;0
5e+10;0.00019799;0.00119047;-0.00698938
1e+11;0.00019799;-9.04842e-06;1.43667e-05
1.5e+11;0.00019799;1.09496e-07;-1.39966e-07
2e+11;0.00019799;2.43133e-09;9.93988e-10
2.5e+11;0.00019799;-7.5091e-11;-2.96191e-11
-2.5e+11;0.000217588;-1.20207e-10;4.73694e-11
-2e+11;0.000217588;3.54831e-09;-1.44823e-09
-1.5e+11;0.000217588;1.45383e-07;1.8587e-07
-1e+11;0.000217588;-1.09297e-05;-1.73555e-05
-5e+10;0.000217588;0.00130818;0.00768116
0;0.000217588;1.26502;0
5e+10;0.000217588;0.00130818;-0.00768116
1e+11;0.000217588;-1.09297e-05;1.73555e-05
1.5e+11;0.000217588;1.45383e-07;-1.8587e-07
2e+11;0.000217588;3.54831e-09;1.44823e-09
2.5e+11;0.000217588;-1.20207e-10;-4.73694e-11
-2.5e+11;0.000237186;-1.84748e-10;7.27592e-11
-2e+11;0.000237186;5.01266e-09;-2.04216e-09
-1.5e+11;0.000237186;1.88378e-07;2.40882e-07
-1e+11;0.000237186;-1.29888e-05;-2.06277e-05
-5e+10;0.000237186;0.00142586;0.00837293
0;0.000237186;1.26668;0
5e+10;0.000237186;0.00142586;-0.00837293
1e+11;0.000237186;-1.29888e-05;2.06277e-05
1.5e+11;0.000237186;1.88378e-07;-2.40882e-07
2e+11;0.000237186;5.01266e-09;2.04216e-09
2.5e+11;0.000237186;-1.84748e-10;-7.27592e-11
-2.5e+11;0.000256784;-2.74379e-10;1.08033e-10
-2e+11;0.000256784;6.89022e-09;-2.80146e-09
-1.5e+11;0.000256784;2.39131e-07;3.05839e-07
-1e+11;0.000256784;-1.5226e-05;-2.41837e-05
-5e+10;0.000256784;0.00154349;0.00906468
0;0.000256784;1.26819;0
5e+10;0.000256784;0.00154349;-0.00906468
1e+11;0.000256784;-1.5226e-05;2.41837e-05
1.5e+11;0.000256784;2.39131e-07;-3.05839e-07
2e+11;0.000256784;6.89022e-09;2.80146e-09
2.5e+11;0.000256784;-2.74379e-10;-1.08033e-10
-2.5e+11;0.000276382;-3.95759e-10;1.55844e-10
-2e+11;0.000276382;9.2527e-09;-3.75381e-09
-1.5e+11;0.000276382;2.98294e-07;3.81581e-07
-1e+11;0.000276382;-1.76414e-05;-2.80239e-05
-5e+10;0.000276382;0.00166109;0.00975641
0;0.000276382;1.26973;0
5e+10;0.000276382;0.00166109;-0.00975641
1e+11;0.000276382;-1.76414e-05;2.80239e-05
1.5e+11;0.000276382;2.98294e-07;-3.81581e-07
2e+11;0.000276382;9.2527e-09;3.75381e-09
2.5e+11;0.000276382;-3.95759e-10;-1.55844e-10
-2.5e+11;0.00029598;-5.56625e-10;2.19295e-10
-2e+11;0.00029598;1.21777e-08;-4.92881e-09
-1.5e+11;0.00029598;3.66522e-07;4.68955e-07
-1e+11;0.00029598;-2.02351e-05;-3.21489e-05
-5e+10;0.00029598;0.00177864;0.0104481
0;0.00029598;1.27124;0
5e+10;0.00029598;0.00177864;-0.0104481
1e+11;0.00029598;-2.02351e-05;3.21489e-05
1.5e+11;0.00029598;3.66522e-07;-4.68955e-07
2e+11;0.00029598;1.21777e-08;4.92881e-09
2.5e+11;0.00029598;-5.56625e-10;-2.19295e-10
-2.5e+11;0.000315578;-7.65863e-10;3.01981e-10
-2e+11;0.000315578;1.57488e-08;-6.35793e-09
-1.5e+11;0.000315578;4.44474e-07;5.68812e-07
-1e+11;0.000315578;-2.30072e-05;-3.65591e-05
-5e+10;0.000315578;0.00189615;0.0111398
0;0.000315578;1.27266;0
5e+10;0.000315578;0.00189615;-0.0111398
1e+11;0.000315578;-2.30072e-05;3.65591e-05
1.5e+11;0.000315578;4.44474e-07;-5.68812e-07
2e+11;0.000315578;1.57488e-08;6.35793e-09
2.5e+11;0.000315578;-7.65863e-10;-3.01981e-10
-2.5e+11;0.000335176;-1.03359e-09;4.08028e-10
-2e+11;0.000335176;2.00556e-08;-8.07442e-09
