"FREQ";"Y";"r xyce/V(VOUT)";"i xyce/V(VOUT)"
-2.5e+11;0.0001;-3.58824e-13;-1.44323e-11
-2e+11;0.0001;-8.37839e-10;-1.50394e-10
-1.5e+11;0.0001;-9.5204e-08;8.14976e-08
-1e+11;0.0001;1.3501e-06;1.5993e-05
-5e+10;0.0001;-0.013353;-0.00763632
0;0.0001;2.20238e-20;0
5e+10;0.0001;-0.013353;0.00763632
1e+11;0.0001;1.3501e-06;-1.5993e-05
1.5e+11;0.0001;-9.5204e-08;-8.14976e-08
2e+11;0.0001;-8.37839e-10;1.50394e-10
2.5e+11;0.0001;-3.58824e-13;1.44323e-11
-2.5e+11;0.000119598;-8.40615e-13;-3.52586e-11
-2e+11;0.000119598;-1.71525e-09;-3.08275e-10
-1.5e+11;0.000119598;-1.62928e-07;1.39418e-07
-1e+11;0.000119598;1.93246e-06;2.28785e-05
-5e+10;0.000119598;-0.0159696;-0.00913276
0;0.000119598;-7.54105e-22;0
5e+10;0.000119598;-0.0159696;0.00913276
1e+11;0.000119598;1.93246e-06;-2.28785e-05
1.5e+11;0.000119598;-1.62928e-07;-1.39418e-07
2e+11;0.000119598;-1.71525e-09;3.08275e-10
2.5e+11;0.000119598;-8.40615e-13;3.52586e-11
-2.5e+11;0.000139196;-1.72689e-12;-7.51833e-11
-2e+11;0.000139196;-3.14963e-09;-5.66906e-10
-1.5e+11;0.000139196;-2.56982e-07;2.19801e-07
-1e+11;0.000139196;2.61979e-06;3.09949e-05
-5e+10;0.000139196;-0.018586;-0.0106291
0;0.000139196;-1.15879e-19;0
5e+10;0.000139196;-0.018586;0.0106291
1e+11;0.000139196;2.61979e-06;-3.09949e-05
1.5e+11;0.000139196;-2.56982e-07;-2.19801e-07
2e+11;0.000139196;-3.14963e-09;5.66906e-10
2.5e+11;0.000139196;-1.72689e-12;7.51833e-11
-2.5e+11;0.000158794;-3.22656e-12;-1.45055e-10
-2e+11;0.000158794;-5.33898e-09;-9.62607e-10
-1.5e+11;0.000158794;-3.81727e-07;3.26329e-07
-1e+11;0.000158794;3.41257e-06;4.03433e-05
-5e+10;0.000158794;-0.0212022;-0.0121254
0;0.000158794;2.26892e-21;0
5e+10;0.000158794;-0.0212022;0.0121254
1e+11;0.000158794;3.41257e-06;-4.03433e-05
1.5e+11;0.000158794;-3.81727e-07;-3.26329e-07
2e+11;0.000158794;-5.33898e-09;9.62607e-10
2.5e+11;0.000158794;-3.22656e-12;1.45055e-10
-2.5e+11;0.000178392;-5.616e-12;-2.59209e-10
-2e+11;0.000178392;-8.51221e-09;-1.5377e-09
-1.5e+11;0.000178392;-5.41545e-07;4.62685e-07
-1e+11;0.000178392;4.31138e-06;5.09248e-05
-5e+10;0.000178392;-0.0238181;-0.0136216
0;0.000178392;8.12768e-20;0
5e+10;0.000178392;-0.0238181;0.0136216
1e+11;0.000178392;4.31138e-06;-5.09248e-05
1.5e+11;0.000178392;-5.41545e-07;-4.62685e-07
2e+11;0.000178392;-8.51221e-09;1.5377e-09
2.5e+11;0.000178392;-5.616e-12;2.59209e-10
-2.5e+11;0.00019799;-9.25634e-12;-4.35945e-10
-2e+11;0.00019799;-1.29295e-08;-2.34072e-09
-1.5e+11;0.00019799;-7.40845e-07;6.32551e-07
-1e+11;0.00019799;5.31687e-06;6.27407e-05
-5e+10;0.00019799;-0.0264338;-0.0151177
0;0.00019799;2.04022e-23;0
5e+10;0.00019799;-0.0264338;0.0151177
1e+11;0.00019799;5.31687e-06;-6.27407e-05
1.5e+11;0.00019799;-7.40845e-07;-6.32551e-07
2e+11;0.00019799;-1.29295e-08;2.34072e-09
2.5e+11;0.00019799;-9.25634e-12;4.35945e-10
-2.5e+11;0.000217588;-1.46192e-11;-6.98019e-10
-2e+11;0.000217588;-1.88828e-08;-3.42668e-09
-1.5e+11;0.000217588;-9.8406e-07;8.39614e-07
-1e+11;0.000217588;6.42975e-06;7.57926e-05
-5e+10;0.000217588;-0.0290492;-0.0166137
0;0.000217588;-1.96539e-22;0
5e+10;0.000217588;-0.0290492;0.0166137
1e+11;0.000217588;6.42975e-06;-7.57926e-05
1.5e+11;0.000217588;-9.8406e-07;-8.39614e-07
2e+11;0.000217588;-1.88828e-08;3.42668e-09
2.5e+11;0.000217588;-1.46192e-11;6.98019e-10
-2.5e+11;0.000237186;-2.23178e-11;-1.07312e-09
-2e+11;0.000237186;-2.66963e-08;-4.85733e-09
-1.5e+11;0.000237186;-1.27565e-06;1.08756e-06
-1e+11;0.000237186;7.65081e-06;9.00821e-05
-5e+10;0.000237186;-0.0316642;-0.0181095
0;0.000237186;-1.97912e-23;0
5e+10;0.000237186;-0.0316642;0.0181095
1e+11;0.000237186;7.65081e-06;-9.00821e-05
1.5e+11;0.000237186;-1.27565e-06;-1.08756e-06
2e+11;0.000237186;-2.66963e-08;4.85733e-09
2.5e+11;0.000237186;-2.23178e-11;1.07312e-09
-2.5e+11;0.000256784;-3.3148e-11;-1.59438e-09
-2e+11;0.000256784;-3.67269e-08;-6.7015e-09
-1.5e+11;0.000256784;-1.62013e-06;1.38008e-06
-1e+11;0.000256784;8.9809e-06;0.000105611
-5e+10;0.000256784;-0.0342789;-0.0196053
0;0.000256784;-7.2045e-24;0
5e+10;0.000256784;-0.0342789;0.0196053
1e+11;0.000256784;8.9809e-06;-0.000105611
1.5e+11;0.000256784;-1.62013e-06;-1.38008e-06
2e+11;0.000256784;-3.67269e-08;6.7015e-09
2.5e+11;0.000256784;-3.3148e-11;1.59438e-09
-2.5e+11;0.000276382;-4.81387e-11;-2.30082e-09
-2e+11;0.000276382;-4.93652e-08;-9.03546e-09
-1.5e+11;0.000276382;-2.02202e-06;1.72086e-06
-1e+11;0.000276382;1.0421e-05;0.000122382
-5e+10;0.000276382;-0.0368932;-0.0211009
0;0.000276382;-4.3939e-22;0
5e+10;0.000276382;-0.0368932;0.0211009
1e+11;0.000276382;1.0421e-05;-0.000122382
1.5e+11;0.000276382;-2.02202e-06;-1.72086e-06
2e+11;0.000276382;-4.93652e-08;9.03546e-09
2.5e+11;0.000276382;-4.81387e-11;2.30082e-09
-2.5e+11;0.00029598;-6.86127e-11;-3.23793e-09
-2e+11;0.00029598;-6.50357e-08;-1.19433e-08
-1.5e+11;0.00029598;-2.4859e-06;2.11361e-06
-1e+11;0.00029598;1.1972e-05;0.000140396
-5e+10;0.00029598;-0.0395071;-0.0225963
0;0.00029598;-1.05133e-22;0
5e+10;0.00029598;-0.0395071;0.0225963
1e+11;0.00029598;1.1972e-05;-0.000140396
1.5e+11;0.00029598;-2.4859e-06;-2.11361e-06
2e+11;0.00029598;-6.50357e-08;1.19433e-08
2.5e+11;0.00029598;-6.86127e-11;3.23793e-09
-2.5e+11;0.000315578;-9.62594e-11;-4.45807e-09
-2e+11;0.000315578;-8.4198e-08;-1.55174e-08
-1.5e+11;0.000315578;-3.0164e-06;2.56202e-06
-1e+11;0.000315578;1.3635e-05;0.000159656
-5e+10;0.000315578;-0.0421206;-0.0240916
0;0.000315578;4.83452e-23;0
5e+10;0.000315578;-0.0421206;0.0240916
1e+11;0.000315578;1.3635e-05;-0.000159656
1.5e+11;0.000315578;-3.0164e-06;-2.56202e-06
2e+11;0.000315578;-8.4198e-08;1.55174e-08
2.5e+11;0.000315578;-9.62594e-11;4.45807e-09
-2.5e+11;0.000335176;-1.33218e-10;-6.02109e-09
